STN_ID,TM_ED,TM_ST,STN_KO,STN_SP,LAT,LON,HT,HT_WD,LAU_ID,STN_AD,FCT_ID,BASIN_ID,BASIN_REP_ID,Region,City
95,2015.07.13.00:00,1998.12.22.17:00,철원,41111211,38.14788,127.3042,153.7,12.6,4095,95,11D10101,강원도 철원군 갈말읍 군탄리,강원도 철원군 갈말읍 군탄리,강원도,철원군
101,2100.12.31.00:00,2013.08.01.14:28,춘천,41211111,37.90256,127.7357,77.71,10,4101,101,11D10301,강원도 춘천시 우두동,강원도 춘천시 우두동,강원도,춘천시
104,2100.12.31.00:00,2008.07.01.00:00,북강릉,41111111,37.80456,128.85535,78.9,10,4105,105,11D20501,강원도 강릉시 사천면 방동리,강원도 강릉시 사천면 방동리,강원도,강릉시
105,2100.12.31.00:00,2005.01.01.00:00,강릉,41111111,37.75147,128.89098,26.04,17.9,4105,105,11D20501,강원도 강릉시 용강동,강원도 강릉시 용강동,강원도,강릉시
108,2100.12.31.00:00,2010.08.16.00:00,서울,41111111,37.57141,126.96579,85.8,10,4108,109,11B10101,서울특별시 종로구 송월동,서울특별시 종로구 송월동,서울특별시,종로구
112,2100.12.31.00:00,2012.06.01.11:10,인천,41211111,37.4777,126.6249,71.43,10,4112,112,11B20201,인천광역시 중구 전동,인천광역시 중구 전동,인천광역시,중구
115,2015.07.13.00:00,1999.03.29.16:00,울릉도,41111211,37.48129,130.89864,222.8,10,4115,115,1.10E+102,경상북도 울릉군 울릉읍 도동리,경상북도 울릉군 울릉읍 도동리,경상북도,울릉군
119,2013.08.01.13:10,1998.12.28.18:00,수원,41111000,37.2723,126.9853,34.06,18.7,4119,119,11B20601,경기도 수원시 권선구 서둔동,경기도 수원시 권선구 서둔동,경기도,수원시
129,2100.12.31.00:00,2012.06.01.11:20,서산,41211111,36.77661,126.49391,28.91,20.2,4129,177,11C20101,충청남도 서산시 수석동,충청남도 서산시 수석동,충청남도,서산시
131,2100.12.31.00:00,1998.12.24.14:00,청주,41111111,36.63924,127.44066,57.16,10,4131,131,11C10301,충청북도 청주시흥덕구 복대동,충청북도 청주시흥덕구 복대동,충청북도,청주시흥덕구
133,2100.12.31.00:00,2012.06.01.10:30,대전,41211111,36.372,127.37212,68.94,19.8,4133,133,11C20401,대전광역시 유성구 구성동,대전광역시 유성구 구성동,대전광역시,유성구
136,2100.12.31.00:00,1998.12.24.17:00,안동,41111111,36.57293,128.70732,140.1,10,4136,136,11H10501,경상북도 안동시 운안동,경상북도 안동시 운안동,경상북도,안동시
146,2015.05.23.18:00,1998.12.22.21:00,전주,41111111,35.8215,127.15496,53.4,18.4,4146,146,11F10201,전라북도 전주시완산구 남노송동,전라북도 전주시완산구 남노송동,전라북도,전주시완산구
146,2015.07.01.00:00,2015.05.23.18:00,전주,41211111,35.8215,127.15496,53.4,18.4,4146,146,11F10201,전라북도 전주시완산구 남노송동,전라북도 전주시완산구 남노송동,전라북도,전주시완산구
146,2100.12.31.00:00,2015.07.01.00:00,전주,41111111,35.8408,127.1172,61.4,10,4146,146,11F10201,전라북도 전주시덕진구 덕진동2가,전라북도 전주시덕진구 덕진동2가,전라북도,전주시덕진구
159,2100.12.31.00:00,1999.03.29.16:00,부산,41111111,35.10468,129.03203,69.56,17.8,4159,159,11H20201,부산광역시 중구 대청동1가,부산광역시 중구 대청동1가,부산광역시,중구
165,2100.12.31.00:00,2012.06.01.13:10,목포,41211111,34.81689,126.38121,38,15.5,4165,165,21F20801,전라남도 목포시 연산동,전라남도 목포시 연산동,전라남도,목포시
168,2100.12.31.00:00,2012.06.01.09:30,여수,41211211,34.73929,127.74064,64.64,20.8,4168,168,11F20401,전라남도 여수시 고소동,전라남도 여수시 고소동,전라남도,여수시
184,2100.12.31.00:00,2012.06.01.13:30,제주,41211111,33.51411,126.52968,20.45,12.3,4184,184,11G00201,제주특별자치도 제주시 건입동,제주특별자치도 제주시 건입동,제주특별자치도,제주시
