"STNID","LAT","HT","MOUNTAIN","WATER"
95,38.1478805541992,154.809997558594,4,34000
100,37.677131652832,772.570007324219,5,22000
101,37.9025611877441,76.4700012207031,5,651
108,37.5714111328125,85.8000030517578,1,4300
112,37.4776992797852,68.1999969482422,2,1000
114,37.3375587463379,148.600006103516,4,24000
115,37.4812889099121,222.399993896484,2,630
119,37.2723007202148,34.060001373291,1,14500
130,36.9917602539062,50,2,300
131,36.6392402648926,58.7000007629395,3,4700
133,36.3720016479492,68.9400024414062,3,210
136,36.5729293823242,140.100006103516,4,2300
138,36.0325889587402,2.27999997138977,2,210
140,36.005298614502,23.2000007629395,2,670
143,35.8282318115234,53.4000015258789,3,4400
146,35.8408012390137,61.4000015258789,1,330
152,35.5825996398926,82,2,3500
155,35.1702003479004,37.5999984741211,2,100
156,35.1729393005371,72.379997253418,1,3300
159,35.104679107666,69.5599975585938,2,540
162,34.845458984375,32.2999992370605,2,185
165,34.8168907165527,38,2,670
168,34.7392883300781,64.6399993896484,2,280
170,34.3958702087402,35.2400016784668,2,150
184,33.5141105651855,20.4500007629395,2,100
185,33.2938194274902,71.4700012207031,2,110
189,33.2461318969727,49.0299987792969,2,450
192,35.1637916564941,30.2099990844727,4,330
